medal_type,medal_code,name,country,country_code,nationality,discipline,event,birth_date,code
Bronze Medal,3,OBIRI Hellen,Kenya,KEN,Kenya,Athletics,Women's Marathon,1989-12-13,1932851
Gold Medal,1,LAVREYSEN Harrie,Netherlands,NED,Netherlands,Cycling Track,Men's Keirin,1997-03-14,1969182
Silver Medal,2,RICHARDSON Matthew,Australia,AUS,Australia,Cycling Track,Men's Keirin,1999-04-17,1940263
Bronze Medal,3,GLAETZER Matthew,Australia,AUS,Australia,Cycling Track,Men's Keirin,1992-08-24,1940262
Gold Medal,1,VALENTE Jennifer,United States,USA,United States,Cycling Track,Women's Omnium,1994-12-24,1955106
Silver Medal,2,PIKULIK Daria,Poland,POL,Poland,Cycling Track,Women's Omnium,1997-01-06,1572953
Bronze Medal,3,WOLLASTON Ally,New Zealand,NZL,New Zealand,Cycling Track,Women's Omnium,2001-01-04,1945080
Gold Medal,1,ANDREWS Ellesse,New Zealand,NZL,New Zealand,Cycling Track,Women's Sprint,1999-12-31,1945040
Silver Medal,2,FRIEDRICH Lea,Germany,GER,Germany,Cycling Track,Women's Sprint,2000-01-07,1889704
Bronze Medal,3,FINUCANE Emma,Great Britain,GBR,Great Britain,Cycling Track,Women's Sprint,2002-12-22,1912522
Gold Medal,1,GULYAS Michelle,Hungary,HUN,Hungary,Modern Pentathlon,Women's Individual,2000-10-24,1936619
Silver Medal,2,CLOUVEL Elodie,France,FRA,France,Modern Pentathlon,Women's Individual,1989-01-14,1545116
Bronze Medal,3,SEONG Seungmin,Korea,KOR,Korea,Modern Pentathlon,Women's Individual,2003-05-13,1786902
Gold Medal,1,LI Wenwen,China,CHN,China,Weightlifting,Women's +81kg,2000-03-05,1918376
Silver Medal,2,PARK Hyejeong,Korea,KOR,Korea,Weightlifting,Women's +81kg,2003-03-12,1894414
Bronze Medal,3,CAMPBELL Emily,Great Britain,GBR,Great Britain,Weightlifting,Women's +81kg,1994-05-06,1544179
Gold Medal,1,KIYOOKA Kotaro,Japan,JPN,Japan,Wrestling,Men's Freestyle 65kg,2001-04-12,1939700
Silver Medal,2,AMOUZADKHALILI Rahman,IR Iran,IRI,IR Iran,Wrestling,Men's Freestyle 65kg,2002-07-17,1544830
Bronze Medal,3,RIVERA Sebastian C,Puerto Rico,PUR,United States,Wrestling,Men's Freestyle 65kg,1998-08-27,1537188
Bronze Medal,3,DUDAEV Islam,Albania,ALB,Albania,Wrestling,Men's Freestyle 65kg,1995-01-15,1559387
Gold Medal,1,TAZHUDINOV Akhmed,Bahrain,BRN,Bahrain,Wrestling,Men's Freestyle 97kg,2003-01-25,1540305
Silver Medal,2,MATCHARASHVILI Givi,Georgia,GEO,Georgia,Wrestling,Men's Freestyle 97kg,1997-05-17,1552495
Bronze Medal,3,MAGOMEDOV Magomedkhan,Azerbaijan,AZE,Azerbaijan,Wrestling,Men's Freestyle 97kg,1998-01-27,1981785
Bronze Medal,3,AZARPIRA Amirali,IR Iran,IRI,IR Iran,Wrestling,Men's Freestyle 97kg,2002-03-26,1543095
Gold Medal,1,KAGAMI Yuka,Japan,JPN,Japan,Wrestling,Women's Freestyle 76kg,2001-09-14,1939701
Silver Medal,2,BLADES Kennedy Alexis,United States,USA,United States,Wrestling,Women's Freestyle 76kg,2003-09-04,1955344
Bronze Medal,3,MARIN POTRILLE Milaimy de la Carid,Cuba,CUB,Cuba,Wrestling,Women's Freestyle 76kg,2001-03-16,1571936
Bronze Medal,3,RENTERIA RENTERIA Tatiana,Colombia,COL,Colombia,Wrestling,Women's Freestyle 76kg,2000-12-22,1535513
Gold Medal,1,CHANG Yani,China,CHN,China,Diving,Women's Synchronised 3m Springboard,2001-12-07,1901539
Gold Medal,1,CHEN Yiwen,China,CHN,China,Diving,Women's Synchronised 3m Springboard,1999-06-15,1901538
Silver Medal,2,BACON Sarah,United States,USA,United States,Diving,Women's Synchronised 3m Springboard,1996-09-20,1954159
Silver Medal,2,COOK Kassidy,United States,USA,United States,Diving,Women's Synchronised 3m Springboard,1995-05-09,1954168
Bronze Medal,3,HARPER Yasmin,Great Britain,GBR,Great Britain,Diving,Women's Synchronised 3m Springboard,2000-07-28,1900841
Bronze Medal,3,MEW JENSEN Scarlett,Great Britain,GBR,Great Britain,Diving,Women's Synchronised 3m Springboard,2001-12-31,1973355
Gold Medal,1,PASQUET Varian,France,FRA,France,Rugby Sevens,Men,1999-07-29,1879682
Gold Medal,1,TIMO Andy,France,FRA,France,Rugby Sevens,Men,2004-05-28,1879687
Gold Medal,1,REBBADJ Rayan,France,FRA,France,Rugby Sevens,Men,1999-08-15,1879683
Gold Medal,1,FORNER Theo,France,FRA,France,Rugby Sevens,Men,2001-10-17,1879671
Gold Medal,1,PAREZ EDO MARTIN Stephen,France,FRA,France,Rugby Sevens,Men,1994-08-01,1879681
Gold Medal,1,RIVA Paulin,France,FRA,France,Rugby Sevens,Men,1994-04-20,1879684
Gold Medal,1,JOSEPH Jefferson-Lee,France,FRA,France,Rugby Sevens,Men,2002-08-29,1879675
Gold Medal,1,ZEGHDAR Antoine,France,FRA,France,Rugby Sevens,Men,1999-05-22,1879692
Gold Medal,1,GRANDIDIER NKANANG Aaron,France,FRA,France,Rugby Sevens,Men,2000-05-18,1879672
Gold Medal,1,BARRAQUE Jean Pascal,France,FRA,France,Rugby Sevens,Men,1991-04-24,1879661
Gold Medal,1,DUPONT Antoine,France,FRA,France,Rugby Sevens,Men,1996-11-15,1879669
Gold Medal,1,SEPHO Jordan,France,FRA,France,Rugby Sevens,Men,1998-12-08,1879685
Gold Medal,1,EPEE Nelson,France,FRA,France,Rugby Sevens,Men,2001-02-20,1879670
Silver Medal,2,NASOVA Joji,Fiji,FIJ,Fiji,Rugby Sevens,Men,2000-06-09,1908897
Silver Medal,2,TALACOLO Joseva,Fiji,FIJ,Fiji,Rugby Sevens,Men,1997-04-01,1908838
Silver Medal,2,MATANA Jeremaia,Fiji,FIJ,Fiji,Rugby Sevens,Men,1998-07-14,1913346
Silver Medal,2,MOCENACAGI Sevuloni,Fiji,FIJ,Fiji,Rugby Sevens,Men,1990-06-29,1977633
Silver Medal,2,BALEIWAIRIKI Iosefo,Fiji,FIJ,Fiji,Rugby Sevens,Men,1998-05-09,1913523
Silver Medal,2,LOGANIMASI Ponipate,Fiji,FIJ,Fiji,Rugby Sevens,Men,1998-03-26,1982069
Silver Medal,2,VEILAWA Terio Tamani,Fiji,FIJ,Fiji,Rugby Sevens,Men,1994-07-06,1913286
Silver Medal,2,NACUQU Waisea,Fiji,FIJ,Fiji,Rugby Sevens,Men,1993-05-24,1913334
Silver Medal,2,TUWAI Jerry,Fiji,FIJ,Fiji,Rugby Sevens,Men,1989-03-23,1908911
Silver Medal,2,TEBA Iowane,Fiji,FIJ,Fiji,Rugby Sevens,Men,1993-02-23,1908835
Silver Medal,2,RASAKU Kaminieli,Fiji,FIJ,Fiji,Rugby Sevens,Men,1999-07-12,1908841
Silver Medal,2,RAVUTAUMADA Selesitino,Fiji,FIJ,Fiji,Rugby Sevens,Men,2000-01-17,2484588
Silver Medal,2,JOSAIA Raisuqe,Fiji,FIJ,Fiji,Rugby Sevens,Men,1994-07-22,1982687
Silver Medal,2,SAUTURAGA Filipe,Fiji,FIJ,Fiji,Rugby Sevens,Men,1994-06-19,1908901
Bronze Medal,3,GROBBELAAR Christie,South Africa,RSA,South Africa,Rugby Sevens,Men,2000-05-25,1574106
Bronze Medal,3,OOSTHUIZEN Ryan,South Africa,RSA,South Africa,Rugby Sevens,Men,1995-05-22,1574107
Bronze Medal,3,VISSER Impi,South Africa,RSA,South Africa,Rugby Sevens,Men,1995-05-30,1574108
Bronze Medal,3,DAVIDS Zain,South Africa,RSA,South Africa,Rugby Sevens,Men,1997-05-04,1574109
Bronze Medal,3,NORTJE Quewin,South Africa,RSA,South Africa,Rugby Sevens,Men,2003-01-14,1888936
Bronze Medal,3,PRETORIUS Tiaan,South Africa,RSA,South Africa,Rugby Sevens,Men,2001-02-19,1574111
Bronze Medal,3,LEYDS Tristan,South Africa,RSA,South Africa,Rugby Sevens,Men,1997-05-24,1574134
Bronze Medal,3,DAVIDS Selvyn,South Africa,RSA,South Africa,Rugby Sevens,Men,1994-03-26,1888932
Bronze Medal,3,WILLIAMS Shaun,South Africa,RSA,South Africa,Rugby Sevens,Men,1998-04-13,1574114
Bronze Medal,3,SPECMAN Rosko,South Africa,RSA,South Africa,Rugby Sevens,Men,1989-04-28,1574121
Bronze Medal,3,SOYIZWAPI Siviwe,South Africa,RSA,South Africa,Rugby Sevens,Men,1992-12-07,1574118
Bronze Medal,3,van WYK Shilton,South Africa,RSA,South Africa,Rugby Sevens,Men,1999-12-22,1574119
Bronze Medal,3,BROWN Ronald,South Africa,RSA,South Africa,Rugby Sevens,Men,1995-09-02,1574112
Gold Medal,1,HUANG Yuting,China,CHN,China,Shooting,10m Air Rifle Mixed Team,2006-09-03,1913945
Gold Medal,1,SHENG Lihao,China,CHN,China,Shooting,10m Air Rifle Mixed Team,2004-12-04,1913899
Silver Medal,2,KEUM Jihyeon,Korea,KOR,Korea,Shooting,10m Air Rifle Mixed Team,2000-03-17,1893896
Silver Medal,2,PARK Hajun,Korea,KOR,Korea,Shooting,10m Air Rifle Mixed Team,2000-04-19,1893976
Bronze Medal,3,LE Alexandra,Kazakhstan,KAZ,Kazakhstan,Shooting,10m Air Rifle Mixed Team,2004-05-03,1930466
Bronze Medal,3,SATPAYEV Islam,Kazakhstan,KAZ,Kazakhstan,Shooting,10m Air Rifle Mixed Team,1998-09-21,1930467
Gold Medal,1,HELD Ryan,United States,USA,United States,Swimming,Men's 4 x 100m Freestyle Relay,1995-06-27,1935916
Gold Medal,1,KING Matt,United States,USA,United States,Swimming,Men's 4 x 100m Freestyle Relay,2002-02-19,1935933
Gold Medal,1,ARMSTRONG Hunter,United States,USA,United States,Swimming,Men's 4 x 100m Freestyle Relay,2001-01-24,1935871
Gold Medal,1,DRESSEL Caeleb,United States,USA,United States,Swimming,Men's 4 x 100m Freestyle Relay,1996-08-16,1935896
Gold Medal,1,ALEXY Jack,United States,USA,United States,Swimming,Men's 4 x 100m Freestyle Relay,2003-01-19,1935869
Gold Medal,1,GUILIANO Chris,United States,USA,United States,Swimming,Men's 4 x 100m Freestyle Relay,2003-06-25,1935911
Silver Medal,2,CARTWRIGHT Jack,Australia,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,1998-09-22,1946186
Silver Medal,2,YANG William,Australia,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,1998-10-11,1946235
Silver Medal,2,SOUTHAM Flynn,Australia,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,2005-06-05,1946179
Silver Medal,2,CHALMERS Kyle,Australia,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,1998-06-25,1946200
Silver Medal,2,TAYLOR Kai,Australia,AUS,Australia,Swimming,Men's 4 x 100m Freestyle Relay,2003-08-18,1946196
Bronze Medal,3,ZAZZERI Lorenzo,Italy,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1994-08-09,1925669
Bronze Medal,3,DEPLANO Leonardo,Italy,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1999-07-21,1925681
Bronze Medal,3,CONTE BONIN Paolo,Italy,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,2002-02-09,1925675
Bronze Medal,3,FRIGO Manuel,Italy,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1997-02-18,1925634
Bronze Medal,3,CECCON Thomas,Italy,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,2001-01-27,1925635
Bronze Medal,3,MIRESSI Alessandro,Italy,ITA,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1998-10-02,1925636
Gold Medal,1,WUNSCH Olivia,Australia,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,2006-05-31,1946221
Gold Medal,1,CAMPBELL Bronte,Australia,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,1994-05-14,1946159
Gold Medal,1,HARRIS Meg,Australia,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,2002-03-07,1946212
Gold Medal,1,McKEON Emma,Australia,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,1994-05-24,1946177
Gold Medal,1,JACK Shayna,Australia,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,1998-11-06,1946227
Gold Medal,1,O'CALLAGHAN Mollie,Australia,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,2004-04-02,1946218
Silver Medal,2,WEITZEIL Abbey,United States,USA,United States,Swimming,Women's 4 x 100m Freestyle Relay,1996-12-03,1935860
Silver Medal,2,MANUEL Simone,United States,USA,United States,Swimming,Women's 4 x 100m Freestyle Relay,1996-08-02,1935945
Silver Medal,2,CONNOLLY Erika,United States,USA,United States,Swimming,Women's 4 x 100m Freestyle Relay,1998-08-27,1935879
Silver Medal,2,DOUGLASS Kate,United States,USA,United States,Swimming,Women's 4 x 100m Freestyle Relay,2001-11-17,1935895
Silver Medal,2,HUSKE Torri,United States,USA,United States,Swimming,Women's 4 x 100m Freestyle Relay,2002-12-07,1935923
Silver Medal,2,WALSH Gretchen,United States,USA,United States,Swimming,Women's 4 x 100m Freestyle Relay,2003-01-29,1935998
Bronze Medal,3,CHENG Yujie,China,CHN,China,Swimming,Women's 4 x 100m Freestyle Relay,2005-09-22,1945230
Bronze Medal,3,WU Qingfeng,China,CHN,China,Swimming,Women's 4 x 100m Freestyle Relay,2003-01-28,1945206
Bronze Medal,3,YU Yiting,China,CHN,China,Swimming,Women's 4 x 100m Freestyle Relay,2005-09-05,1945164
Bronze Medal,3,YANG Junxuan,China,CHN,China,Swimming,Women's 4 x 100m Freestyle Relay,2002-01-26,1945159
Bronze Medal,3,ZHANG Yufei,China,CHN,China,Swimming,Women's 4 x 100m Freestyle Relay,1998-04-19,1945125
Gold Medal,1,JEON Hunyoung,Korea,KOR,Korea,Archery,Women's Team,1994-05-29,1902121
Gold Medal,1,LIM Sihyeon,Korea,KOR,Korea,Archery,Women's Team,2003-06-13,1902147
Gold Medal,1,NAM Suhyeon,Korea,KOR,Korea,Archery,Women's Team,2005-01-27,1902148
Silver Medal,2,AN Qixuan,China,CHN,China,Archery,Women's Team,2000-12-03,1913382
Silver Medal,2,LI Jiaman,China,CHN,China,Archery,Women's Team,1997-08-18,1913372
Silver Medal,2,YANG Xiaolei,China,CHN,China,Archery,Women's Team,2000-06-28,1913380
Bronze Medal,3,RUIZ Angela,Mexico,MEX,Mexico,Archery,Women's Team,2006-07-28,1535429
Bronze Medal,3,VALENCIA Alejandra,Mexico,MEX,Mexico,Archery,Women's Team,1994-10-17,1535420
Bronze Medal,3,VAZQUEZ Ana,Mexico,MEX,Mexico,Archery,Women's Team,2000-10-05,1536479
Gold Medal,1,KIM Je Deok,Korea,KOR,Korea,Archery,Men's Team,2004-04-12,1902130
Gold Medal,1,KIM Woojin,Korea,KOR,Korea,Archery,Men's Team,1992-06-20,1902135
Gold Medal,1,LEE Wooseok,Korea,KOR,Korea,Archery,Men's Team,1997-08-07,1902144
Silver Medal,2,ADDIS Baptiste,France,FRA,France,Archery,Men's Team,2006-12-07,1541270
Silver Medal,2,CHIRAULT Thomas,France,FRA,France,Archery,Men's Team,1997-09-15,1541272
Silver Medal,2,VALLADONT Jean-Charles,France,FRA,France,Archery,Men's Team,1989-03-20,1541275
Bronze Medal,3,GAZOZ Mete,Türkiye,TUR,Türkiye,Archery,Men's Team,1999-06-08,1565000
Bronze Medal,3,TUMER Berkim,Türkiye,TUR,Türkiye,Archery,Men's Team,2002-04-30,1565002
Bronze Medal,3,YILDIRMIS Abdullah,Türkiye,TUR,Türkiye,Archery,Men's Team,2003-11-07,1565006
Gold Medal,1,HASHIMOTO Daiki,Japan,JPN,Japan,Artistic Gymnastics,Men's Team,2001-08-07,1919492
Gold Medal,1,KAYA Kazuma,Japan,JPN,Japan,Artistic Gymnastics,Men's Team,1996-11-19,1919491
Gold Medal,1,OKA Shinnosuke,Japan,JPN,Japan,Artistic Gymnastics,Men's Team,2003-10-31,1919480
Gold Medal,1,SUGINO Takaaki,Japan,JPN,Japan,Artistic Gymnastics,Men's Team,1998-10-18,1919479
Gold Medal,1,TANIGAWA Wataru,Japan,JPN,Japan,Artistic Gymnastics,Men's Team,1996-07-23,1919490
Silver Medal,2,LIU Yang,China,CHN,China,Artistic Gymnastics,Men's Team,1994-08-11,1918856
Silver Medal,2,SU Weide,China,CHN,China,Artistic Gymnastics,Men's Team,2000-03-19,1918858
Silver Medal,2,XIAO Ruoteng,China,CHN,China,Artistic Gymnastics,Men's Team,1996-01-30,1918860
Silver Medal,2,ZHANG Boheng,China,CHN,China,Artistic Gymnastics,Men's Team,2000-03-04,1918864
Silver Medal,2,ZOU Jingyuan,China,CHN,China,Artistic Gymnastics,Men's Team,1998-01-03,1918865
Bronze Medal,3,HONG Asher,United States,USA,United States,Artistic Gymnastics,Men's Team,2004-03-23,1959781
Bronze Medal,3,JUDA Paul,United States,USA,United States,Artistic Gymnastics,Men's Team,2001-07-07,1959855
Bronze Medal,3,MALONE Brody,United States,USA,United States,Artistic Gymnastics,Men's Team,2000-01-07,1959823
Bronze Medal,3,NEDOROSCIK Stephen,United States,USA,United States,Artistic Gymnastics,Men's Team,1998-10-28,1959865
Bronze Medal,3,RICHARD Frederick,United States,USA,United States,Artistic Gymnastics,Men's Team,2004-04-23,1959811
Gold Medal,1,LIAN Junjie,China,CHN,China,Diving,Men's Synchronised 10m Platform,2000-11-03,1901555
Gold Medal,1,YANG Hao,China,CHN,China,Diving,Men's Synchronised 10m Platform,1998-02-03,1901554
Silver Medal,2,DALEY Thomas,Great Britain,GBR,Great Britain,Diving,Men's Synchronised 10m Platform,1994-05-21,1900838
Silver Medal,2,WILLIAMS Noah,Great Britain,GBR,Great Britain,Diving,Men's Synchronised 10m Platform,2000-05-15,1900857
Bronze Medal,3,WIENS Rylan,Canada,CAN,Canada,Diving,Men's Synchronised 10m Platform,2002-01-02,1959146
Bronze Medal,3,ZSOMBOR-MURRAY Nathan,Canada,CAN,Canada,Diving,Men's Synchronised 10m Platform,2003-04-28,1959132
Gold Medal,1,McEWEN Tom,Great Britain,GBR,Great Britain,Equestrian,Eventing Team,1991-05-10,1970917
Gold Medal,1,COLLETT Laura,Great Britain,GBR,Great Britain,Equestrian,Eventing Team,1989-08-31,1970898
Gold Medal,1,CANTER Rosalind,Great Britain,GBR,Great Britain,Equestrian,Eventing Team,1986-01-13,1970892
Gold Medal,1,INGHAM Yasmin,Great Britain,GBR,Great Britain,Equestrian,Eventing Team,1997-05-13,1970912
Silver Medal,2,LAGHOUAG Karim Florent,France,FRA,France,Equestrian,Eventing Team,1975-08-04,1899846
Silver Medal,2,LANDOIS Stephane,France,FRA,France,Equestrian,Eventing Team,1994-06-03,1899847
Silver Medal,2,TOUZAINT Nicolas,France,FRA,France,Equestrian,Eventing Team,1980-05-10,1899866
Silver Medal,2,le COZ Gireg,France,FRA,France,Equestrian,Eventing Team,1989-03-14,1899848
Bronze Medal,3,KITAJIMA Ryuzo,Japan,JPN,Japan,Equestrian,Eventing Team,1985-10-23,1946432
Bronze Medal,3,OIWA Yoshiaki,Japan,JPN,Japan,Equestrian,Eventing Team,1976-07-19,1946434
Bronze Medal,3,TOMOTO Kazuma,Japan,JPN,Japan,Equestrian,Eventing Team,1983-06-05,1946438
Bronze Medal,3,TANAKA Toshiyuki,Japan,JPN,Japan,Equestrian,Eventing Team,1985-02-02,1946428
Gold Medal,1,BILES Simone,United States,USA,United States,Artistic Gymnastics,Women's Team,1997-03-14,1959861
Gold Medal,1,CAREY Jade,United States,USA,United States,Artistic Gymnastics,Women's Team,2000-05-27,1959819
Gold Medal,1,CHILES Jordan,United States,USA,United States,Artistic Gymnastics,Women's Team,2001-04-15,1959825
Gold Medal,1,LEE Sunisa,United States,USA,United States,Artistic Gymnastics,Women's Team,2003-03-09,1959866
Gold Medal,1,RIVERA Hezly,United States,USA,United States,Artistic Gymnastics,Women's Team,2008-06-04,1959814
Silver Medal,2,ANDREOLI Angela,Italy,ITA,Italy,Artistic Gymnastics,Women's Team,2006-06-06,1560761
Silver Medal,2,D'AMATO Alice,Italy,ITA,Italy,Artistic Gymnastics,Women's Team,2003-02-07,1551061
Silver Medal,2,ESPOSITO Manila,Italy,ITA,Italy,Artistic Gymnastics,Women's Team,2006-11-02,1560762
Silver Medal,2,IORIO Elisa,Italy,ITA,Italy,Artistic Gymnastics,Women's Team,2003-03-21,1560760
Silver Medal,2,VILLA Giorgia,Italy,ITA,Italy,Artistic Gymnastics,Women's Team,2003-02-23,1560759
Bronze Medal,3,ANDRADE Rebeca,Brazil,BRA,Brazil,Artistic Gymnastics,Women's Team,1999-05-08,1953634
Bronze Medal,3,BARBOSA Jade,Brazil,BRA,Brazil,Artistic Gymnastics,Women's Team,1991-07-01,1953624
Bronze Medal,3,OLIVEIRA Lorrane,Brazil,BRA,Brazil,Artistic Gymnastics,Women's Team,1998-04-13,1953630
Bronze Medal,3,SARAIVA Flavia,Brazil,BRA,Brazil,Artistic Gymnastics,Women's Team,1999-09-30,1953620
Bronze Medal,3,SOARES Julia,Brazil,BRA,Brazil,Artistic Gymnastics,Women's Team,2005-08-23,1953626
Gold Medal,1,FIAMINGO Rossella,Italy,ITA,Italy,Fencing,Women's Épée Team,1991-07-14,1924585
Gold Medal,1,RIZZI Giulia,Italy,ITA,Italy,Fencing,Women's Épée Team,1989-06-20,1924588
Gold Medal,1,SANTUCCIO Alberta,Italy,ITA,Italy,Fencing,Women's Épée Team,1994-10-22,1924587
Gold Medal,1,NAVARRIA Mara,Italy,ITA,Italy,Fencing,Women's Épée Team,1985-07-18,1924586
Silver Medal,2,VITALIS Coraline,France,FRA,France,Fencing,Women's Épée Team,1995-05-09,1916182
Silver Medal,2,MALLO-BRETON Auriane,France,FRA,France,Fencing,Women's Épée Team,1993-10-11,1916183
Silver Medal,2,CANDASSAMY Marie-Florence,France,FRA,France,Fencing,Women's Épée Team,1991-02-26,1916184
Silver Medal,2,LOUIS-MARIE Alexandra,France,FRA,France,Fencing,Women's Épée Team,1996-03-03,1916185
Bronze Medal,3,KNAPIK-MIAZGA Renata,Poland,POL,Poland,Fencing,Women's Épée Team,1988-07-15,1894213
Bronze Medal,3,SWATOWSKA-WENGLARCZYK Martyna,Poland,POL,Poland,Fencing,Women's Épée Team,1994-07-08,1894214
Bronze Medal,3,KLASIK Alicja,Poland,POL,Poland,Fencing,Women's Épée Team,2004-02-14,1894223
Bronze Medal,3,JARECKA Aleksandra,Poland,POL,Poland,Fencing,Women's Épée Team,1995-10-11,1894217
Gold Medal,1,POURI-LANE Risi,New Zealand,NZL,New Zealand,Rugby Sevens,Women,2000-05-28,1926596
Gold Medal,1,MILLER Jorja,New Zealand,NZL,New Zealand,Rugby Sevens,Women,2004-02-08,1926667
Gold Medal,1,WAAKA Stacey,New Zealand,NZL,New Zealand,Rugby Sevens,Women,1995-11-03,1926592
Gold Medal,1,NUKU Manaia,New Zealand,NZL,New Zealand,Rugby Sevens,Women,2002-09-03,1926629
Gold Medal,1,HIRINI Sarah,New Zealand,NZL,New Zealand,Rugby Sevens,Women,1992-12-09,1926632
Gold Medal,1,BLYDE Michaela,New Zealand,NZL,New Zealand,Rugby Sevens,Women,1995-12-29,1926635
Gold Medal,1,KING Tyla,New Zealand,NZL,New Zealand,Rugby Sevens,Women,1994-07-01,1926644
Gold Medal,1,PAUL Mahina,New Zealand,NZL,New Zealand,Rugby Sevens,Women,2001-04-19,1926676
Gold Medal,1,FELIX-HOTHAM Jazmin,New Zealand,NZL,New Zealand,Rugby Sevens,Women,2000-07-02,1926634
Gold Medal,1,SETEFANO Theresa,New Zealand,NZL,New Zealand,Rugby Sevens,Women,1995-02-25,1926647
Gold Medal,1,WOODMAN-WICKLIFFE Portia,New Zealand,NZL,New Zealand,Rugby Sevens,Women,1991-07-12,1926646
Gold Medal,1,SAILI Alena,New Zealand,NZL,New Zealand,Rugby Sevens,Women,1998-12-13,1926593
Silver Medal,2,CROSSLEY Caroline,Canada,CAN,Canada,Rugby Sevens,Women,1998-04-19,1960779
Silver Medal,2,APPS Olivia,Canada,CAN,Canada,Rugby Sevens,Women,1998-12-01,1960762
Silver Medal,2,CORRIGAN Alysha,Canada,CAN,Canada,Rugby Sevens,Women,1997-01-25,1960778
Silver Medal,2,HOGAN-ROCHESTER Asia,Canada,CAN,Canada,Rugby Sevens,Women,1999-04-20,1960797
Silver Medal,2,DANIELS Chloe,Canada,CAN,Canada,Rugby Sevens,Women,2003-04-27,1960781
Silver Medal,2,WILLIAMS Charity,Canada,CAN,Canada,Rugby Sevens,Women,1996-10-20,1960837
Silver Medal,2,SYMONDS Florence,Canada,CAN,Canada,Rugby Sevens,Women,2002-05-20,1960826
Silver Medal,2,NORSTEN Carissa,Canada,CAN,Canada,Rugby Sevens,Women,2003-11-07,1960812
Silver Medal,2,SCURFIELD Krissy,Canada,CAN,Canada,Rugby Sevens,Women,2003-06-15,1960822
Silver Medal,2,BERMUDEZ Fancy,Canada,CAN,Canada,Rugby Sevens,Women,2002-05-27,1960765
Silver Medal,2,LOGAN Piper,Canada,CAN,Canada,Rugby Sevens,Women,2001-07-13,1960803
Silver Medal,2,WARDLEY Keyara,Canada,CAN,Canada,Rugby Sevens,Women,2000-01-27,1960834
Silver Medal,2,PERRY Taylor,Canada,CAN,Canada,Rugby Sevens,Women,2000-07-23,1960817
Silver Medal,2,VALENZUELA Shalaya,Canada,CAN,Canada,Rugby Sevens,Women,1999-06-12,1960832
Bronze Medal,3,RAMSEY Ariana,United States,USA,United States,Rugby Sevens,Women,2000-03-25,1950500
Bronze Medal,3,MAHER Ilona,United States,USA,United States,Rugby Sevens,Women,1996-08-12,1950498
Bronze Medal,3,CANETT Kayla,United States,USA,United States,Rugby Sevens,Women,1998-04-29,1950485
Bronze Medal,3,SULLIVAN Sammy,United States,USA,United States,Rugby Sevens,Women,1998-05-22,1950504
Bronze Medal,3,KELTER Alev,United States,USA,United States,Rugby Sevens,Women,1991-03-21,1950494
Bronze Medal,3,DOYLE Lauren,United States,USA,United States,Rugby Sevens,Women,1991-02-23,1950487
Bronze Medal,3,TAPPER Naya,United States,USA,United States,Rugby Sevens,Women,1994-08-03,1950505
Bronze Medal,3,SEDRICK Alex,United States,USA,United States,Rugby Sevens,Women,1998-02-28,1950502
Bronze Medal,3,OLSEN Alena,United States,USA,United States,Rugby Sevens,Women,1995-12-06,1950499
Bronze Medal,3,ROVETTI Steph,United States,USA,United States,Rugby Sevens,Women,1991-10-02,1950501
Bronze Medal,3,LEVY Sarah,United States,USA,United States,Rugby Sevens,Women,1995-12-27,1950496
Bronze Medal,3,KIRSHE Kristi,United States,USA,United States,Rugby Sevens,Women,1994-10-14,1950495
Gold Medal,1,ARUNOVIC Zorana,Serbia,SRB,Serbia,Shooting,10m Air Pistol Mixed Team,1986-11-22,1956347
Gold Medal,1,MIKEC Damir,Serbia,SRB,Serbia,Shooting,10m Air Pistol Mixed Team,1984-03-31,1956356
Silver Medal,2,TARHAN Sevval Ilayda,Türkiye,TUR,Türkiye,Shooting,10m Air Pistol Mixed Team,2000-02-04,1564886
